the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000034EE7ABAF1DA54C0D4815F3CA6BB4140,183417,0101000020110F00005CB4BCF55DB661C11D4C44F64F205041,183041,>1m <=5m,ATBI DATABASE,,1446922304000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280318,3927417,35.466004,-83.421,Deep Creek,Tom Branch,2149.892578,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922304000,GRSM,UNR,,2,,,Wiggins-Watson-Toms Branch Cemetery Access,Tom Branch Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008DBA5C18D7DB54C004EED970E1BA4140,183412,0101000020110F00001050DAC220B761C1A6539AC1821F5041,183036,>1m <=5m,ATBI DATABASE,,1446922301000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279031,3926782,35.459998,-83.434999,Deep Creek,,1836.47522,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446922301000,GRSM,UNR,,5,,,Noland Divide Trail,Deep Creek Campground Loop 1,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000003E690E34B2CD54C03C4546BB95E34140,183448,0101000020110F000042805D891DAB61C127EC9D93094A5041,183071,>1m <=5m,ATBI DATABASE,,1446922323000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,299884,3961587,35.778,-83.213998,Cosby Creek,Cosby Creek,1742.802612,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922323000,GRSM,UNR,,6,,,Tritt Cemetery Access Trail,Cosby Government Quarters / Ranger Station Access Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,week,cert,ATBI Lepidoptera TWIG
0101000020E610000036EB29C570CD54C0AD2C247C89E14140,183450,0101000020110F0000DDB1D3F6E5AA61C1A9027DD2E4475041,183073,>1m <=5m,ATBI DATABASE,,1446922324000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300205,3959804,35.762001,-83.210004,Cosby Creek,Cosby Creek,2040.874756,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446922324000,GRSM,UNR,,5,,,Gabes Mountain Trail,Cosby Entrance Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964310400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000D116F6052BC754C0D16D032321D04140,183454,0101000020110F000012EDEC3392A561C1776BCD97B0355041,183077,>1m <=5m,ATBI DATABASE,,1446922326000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308742,3944522,35.626004,-83.111997,Upper Cataloochee Creek,Palmer Creek,2738.823242,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922326000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990316800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000006D4383AF70C554C08C34C3D6C4D04140,183455,0101000020110F000055BE79861AA461C1D6A5E7A45B365041,183078,>1m <=5m,ATBI DATABASE,,1446922326000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311199,3945024,35.631,-83.084999,Lower Cataloochee Creek,Cataloochee Creek,2624.833984,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922326000,GRSM,UNR,,5,,,Cataloochee Horse Trail,Cataloochee Campground Loop Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,926640000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000C973BF3B60C554C006DEB12E27D14140,183456,0101000020110F00000C1D6C8D0CA461C1EE8C5E68C2365041,183079,>1m <=5m,ATBI DATABASE,,1446922327000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311297,3945355,35.634001,-83.083995,Lower Cataloochee Creek,Lower Double Branch,2622.016602,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922327000,GRSM,UNR,,7,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000A913CED6B0C454C08CF425D2B8CA4140,183463,0101000020110F0000AA94099777A361C1BDAFF58E0A305041,183086,>1m <=5m,ATBI DATABASE,,1446922330000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312149,3939761,35.583758,-83.073289,Lower Johnathans Creek,,4764.077148,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922330000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023494400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000097C30A91B5C454C03CD49CE7C8CA4140,183462,0101000020110F00004463E49A7BA361C1844FE05A1B305041,183085,>1m <=5m,ATBI DATABASE,,1446922330000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312124,3939816,35.584249,-83.073578,Lower Johnathans Creek,,4800.433594,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922330000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,967161600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000B5EF24FEB5C454C04C7A66E9CDCA4140,183459,0101000020110F0000ED7D8DF77BA361C1A4B2779520305041,183082,>1m <=5m,ATBI DATABASE,,1446922329000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312122,3939833,35.584402,-83.073604,Lower Johnathans Creek,,4819.37207,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446922329000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,905558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001211B2B72ACB54C022355AFFC8C64140,183452,0101000020110F0000B09C6FA0F7A861C1A2E22448EE2B5041,183075,>1m <=5m,ATBI DATABASE,,1446922325000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302904,3936547,35.553002,-83.174478,Lower Raven Fork,Flat Creek,4863.875977,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922325000,GRSM,UNR,,5,,,Flat Creek Trail,Heintooga Ridge Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000E1B1DC282BCB54C0BD6DB82538C84140,183453,0101000020110F00002B608C00F8A861C1D13B47946D2D5041,183076,>1m <=5m,ATBI DATABASE,,1446922325000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,302929,3937790,35.564207,-83.174505,Lower Raven Fork,,5334.425293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922325000,GRSM,UNR,,6,,,Balsam Mountain Nature Trail,Balsam Mountain Campground Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D5080098EFCF54C0CFE68E913BCF4140,183445,0101000020110F0000C47D698404AD61C1BE6DA2BCC0345041,183068,>1m <=5m,ATBI DATABASE,,1446922321000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,296316,3944020,35.618999,-83.248995,Upper Raven Fork,Jones Creek,3859.885742,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922321000,GRSM,UNR,,5,,,Enloe Creek Trail,Straight Fork Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090195200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000A206BA933BD754C084ED1DF108CB4140,183424,0101000020110F000017C0FCFE36B361C17030113B5E305041,183048,>1m <=5m,ATBI DATABASE,,1446922307000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285901,3940624,35.586204,-83.363007,Upper Oconaluftee River,Kanati Fork,2929.613281,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922307000,GRSM,UNR,,6,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000855A9ECAF3D554C083785A0752C84140,183425,0101000020110F000015E88E9B20B261C1513FD499882D5041,183049,>1m <=5m,ATBI DATABASE,,1446922308000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,287658,3938228,35.564996,-83.343001,Upper Oconaluftee River,Collins Creek,2630.94873,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922308000,GRSM,UNR,,8,,,Newton Bald Trail,Collins Creek Picnic Area Upper Loop Parking C,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1061164800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001C801A45B6D354C00AE4EE8066C64140,183427,0101000020110F000092D5FF8339B061C1A3F01B77872B5041,183051,>1m <=5m,ATBI DATABASE,,1446922310000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290792,3936489,35.549996,-83.307996,Lower Oconaluftee River,Oconaluftee River,2175.952637,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922310000,GRSM,UNR,,5,,,Newton Bald Concession Horse Trail Loop,Smokemont Horse Concessions Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000772FF7C9F1D254C0197E934D89C14140,183442,0101000020110F0000A5F9ECA492AF61C116D27DF273265041,183064,>1m <=5m,ATBI DATABASE,,1446922318000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291781,3932248,35.511996,-83.296004,Lower Oconaluftee River,,2043.470581,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446922318000,GRSM,UNR,,6,,,Nations Cemetery Access,Access Road To Big Cove Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,997833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000C27B7E8064D354C05D9CAEB7E5C04140,183435,0101000020110F00009375ED11F4AF61C138618745C9255041,183057,>1m <=5m,ATBI DATABASE,,1446922314000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291133,3931709,35.507004,-83.303005,Lower Oconaluftee River,Oconaluftee River,2006.872559,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922314000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1000944000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000920727446ED354C02DF1FB9C9AC04140,183433,0101000020110F0000C562E35CFCAF61C195286BEA7A255041,183056,>1m <=5m,ATBI DATABASE,,1446922314000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291073,3931456,35.504712,-83.303601,Lower Oconaluftee River,Oconaluftee River,2203.830078,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922314000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1021939200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000003B3CD53833D354C0A404061B27C14140,183437,0101000020110F0000514F7137CAAF61C136460F7E0D265041,183059,>1m <=5m,ATBI DATABASE,,1446922316000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291411,3931924,35.508999,-83.299997,Lower Oconaluftee River,,2013.518921,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446922316000,GRSM,UNR,,5,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964483200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000001D43145433D354C06AF383E347C14140,183441,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,183063,>1m <=5m,ATBI DATABASE,,1446922318000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446922318000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998092800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008A87209C89D354C0BF445B2627C24140,183432,0101000020110F00004907F89513B061C18FE23DA518275041,183055,>1m <=5m,ATBI DATABASE,,1446922313000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290953,3932802,35.516813,-83.30527,Lower Oconaluftee River,Oconaluftee River,2037.439697,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922313000,GRSM,UNR,,6,,,Enloe-Mingus Cemetery Access,Oconaluftee Residence Parking Area,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,black light trap,No,day,cert,PKnob moths monitoring
0101000020E6100000F66D35A950D354C05ACD3D9B0AC24140,183436,0101000020110F000043C31638E3AF61C1E8E2C4DCFA265041,183058,>1m <=5m,ATBI DATABASE,,1446922315000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291266,3932698,35.515942,-83.301794,Lower Oconaluftee River,Raven Fork,2032.877686,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922315000,GRSM,UNR,,5,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,at light, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000005C9E3743E1D254C043D9AA104EC24140,183443,0101000020110F0000FDF3BF9B84AF61C1A3AF5C4041275041,183066,>1m <=5m,ATBI DATABASE,,1446922320000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291888,3932912,35.518001,-83.294995,Lower Raven Fork,,2050.639648,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446922320000,GRSM,UNR,,6,,,Nations Cemetery Access,Oconaluftee Job Corps Center Access Road,Valid,Herpetogramma_pertextalis,Herpetogramma  pertextalis,18935,Bold-feathered Grass Moth,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,990403200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Pyraloidea,Crambidae,Pyraustinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
